card_title,card_reviews,card_link,card_image,card_status,card_limit,card_score,card_annual_income,card_applied_from,card_bureau,card_age,card_notes,card_author_name,card_meta_date,card_dislike,card_like
Amex Platinum Business,910,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,760,N/A,New Jersey,N/A,2-5 years,NaN,User_270t4x6h,"May 31, 2023",0,0
Wells Fargo Active Cash,895,https://helpmebuildcredit.com/creditcard/wells-fargo-active-cash-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/07/wells-fargo-active-cash-1.png,publish,"$1,500",733,N/A,N/A,N/A,1-2 years,NaN,User_jr4welth,"May 31, 2023",0,1
SoFi Card,974,https://helpmebuildcredit.com/creditcard/sofi-credit-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/04/SoFi-Credit-Card.png,publish,"$3,500",718,N/A,California,Experian,5-10 years,Soft Pull only.  Experian.  1 late payment 3 years ago.  718 Experian.,User_nlqafxcu,"May 31, 2023",0,2
Citi Custom Cash,982,https://helpmebuildcredit.com/creditcard/citi-customsm-cash-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/06/citi-custom-cash.png,publish,"$7,500",752,N/A,N/A,N/A,N/A,NaN,User_xkhs9yfq,"May 30, 2023",0,1
Blue Cash Everyday,987,https://helpmebuildcredit.com/creditcard/amex-blue-cash/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-everyday-1.png,publish,"$15,600",740,N/A,N/A,N/A,N/A,NaN,User_8ion9mk2,"May 30, 2023",0,2
Citi Double Cash,1107,https://helpmebuildcredit.com/creditcard/citi-double-cash/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/citi-double-cash-5.png,publish,"$1,000",670,N/A,New York,Equifax,5-10 years,2nd time I applied and both times they pulled Equifax,User_bpzl6vof,"May 30, 2023",0,3
NaN,954,#,h,publish,"$150,000",777,N/A,N/A,N/A,N/A,NaN,User_yirzpwqg,"May 30, 2023",1,1
Blue Cash Preferred,874,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$25,000",755,N/A,N/A,N/A,N/A,NaN,User_8ion9mk2,"May 30, 2023",0,1
Amex Platinum Schwab,626,https://helpmebuildcredit.com/creditcard/the-american-express-platinum-card-for-schwab/,https://helpmebuildcredit.com/wp-content/uploads/2020/11/schwab-amex-1.png,publish,N/A,770,N/A,N/A,N/A,N/A,NaN,User_mlesijh2,"May 30, 2023",0,1
Business Green Rewards,673,https://helpmebuildcredit.com/creditcard/business-green-rewards-amex-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/05/amex-green-business.png,decline,N/A,690,N/A,New York,N/A,10 years plus,Have a current account that is past due (over the limit did not bother them),User_pwguzofr,"May 29, 2023",0,1
Amex Gold,717,https://helpmebuildcredit.com/creditcard/amex-gold-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-gold-card-1.png,decline,N/A,752,N/A,N/A,N/A,N/A,NaN,User_hcuse0vy,"May 29, 2023",0,1
Bank AmeriCard,776,https://helpmebuildcredit.com/creditcard/bank-americard/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/bankamericard.png,publish,"$12,000",702,N/A,Pennsylvania,Experian,2-5 years,"Instantly got approved for a Balance Transfer.  I requested $14,000 but they only gave me $12K, which I definitely won't complain about. Score was at 702 across the board with 36% UTI.",User_vufzykl3,"May 29, 2023",0,3
Hilton Honors Business,671,https://helpmebuildcredit.com/creditcard/hilton-honors-amex-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/hilton-card-2.png,publish,"$3,000",725,N/A,New York,N/A,2-5 years,NaN,User_l18b2ri5,"May 29, 2023",0,2
U.S. Bank Business Platinum,771,https://helpmebuildcredit.com/creditcard/us-bank-business-platinum/,https://helpmebuildcredit.com/wp-content/uploads/2020/04/platinum-business-us-bank-1.png,publish,"$12,000",800,N/A,New Jersey,N/A,10 years plus,"based on mine and my wife's application and credit limit approved, it seems they give larger numbers to LLC's as opposed to SP's, as credit rates and other numbers were fairly similar.",User_r2oj47m6,"May 28, 2023",0,2
U.S. Bank Business Platinum,770,https://helpmebuildcredit.com/creditcard/us-bank-business-platinum/,https://helpmebuildcredit.com/wp-content/uploads/2020/04/platinum-business-us-bank-1.png,publish,"$3,000",800,N/A,New Jersey,N/A,10 years plus,"based on mine and my wife's application and credit limit approved, it seems they give larger numbers to LLC's as opposed to SP's, as credit rates and other numbers were fairly similar.",User_r2oj47m6,"May 28, 2023",0,1
Choice Privileges Select,970,https://helpmebuildcredit.com/creditcard/choice-privileges-select-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2023/05/Choice-Privileges®-select-Mastercard®.png,publish,"$10,000",300,N/A,Arizona,Experian,1-2 years,NaN,User_u185z730,"May 28, 2023",0,1
Emirates Skywards Premium,924,https://helpmebuildcredit.com/creditcard/emirates-skywards-premium-world-elite-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2020/09/Emirates-Skywards.png,publish,"$1,000",400,N/A,California,Experian,2-5 years,NaN,User_a3vkusg1,"May 28, 2023",1,0
Amex Platinum Business,882,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,724,N/A,California,Experian,10 years plus,"Utilization: 10%, clean report, 5 inq, AAoA: 6",User_3ltigh5u,"May 28, 2023",0,1
Citi Custom Cash,837,https://helpmebuildcredit.com/creditcard/citi-customsm-cash-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/06/citi-custom-cash.png,publish,"$9,300",738,N/A,Maryland,Equifax,2-5 years,NaN,User_s1mhq7cf,"May 28, 2023",0,1
Chase Sapphire Preferred,735,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$5,000",717,N/A,N/A,Experian,6-12 months,NaN,User_gzdqp297,"May 28, 2023",0,1
Apple Card,758,https://helpmebuildcredit.com/creditcard/apple-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/07/apple-card-2.png,publish,"$5,000",723,N/A,Indiana,TransUnion,6-12 months,NaN,User_9xeisnla,"May 28, 2023",0,2
Chase Sapphire Preferred,1215,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$19,000",761,N/A,New York,Experian,2-5 years,NaN,User_r9iluyq0,"May 24, 2023",0,3
Ink Business Unlimited,1168,https://helpmebuildcredit.com/creditcard/chase-ink-business-unlimited/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/8100b780-26ef-4eda-862f-cfbf7bed342c.png,publish,"$3,000",700,N/A,New York,Experian,6-12 months,"Had to provide my signature, they approved me 2 weeks after applying",User_iw1az4ry,"May 24, 2023",0,1
U.S. Bank Business Triple Cash,1195,https://helpmebuildcredit.com/creditcard/u-s-bank-triple-cash-rewards-visa-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/08/triple-cash-rewards-business-1.png,publish,"$7,000",800,N/A,New York,TransUnion,10 years plus,It's a very tough approval process. I needed to ask for reconsideration and spoke with underwriting.  ,User_gdknfsc4,"May 24, 2023",0,1
Alaska Airline Business,1000,https://helpmebuildcredit.com/creditcard/alaska-airline-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/alaska-airline-business.png,publish,"$8,000",800,N/A,New York,N/A,5-10 years,Third Alaska business card approved!,User_vkehnx4y,"May 24, 2023",0,1
Amex Everyday,1215,https://helpmebuildcredit.com/creditcard/amex-everyday/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-everyday.png,publish,"$8,000",779,N/A,Colorado,None,5-10 years,"Second amex card. They did a soft pull as they already keep track of credit score. Higher credit limit due to no miss payments on other card. Score only hit 779 because they gave me the first card six months ago. Great credit card company. Be patient and try to get one, you won't be disappointed.",User_3nes7dp8,"May 23, 2023",0,10
Chase Sapphire Preferred,1595,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$15,200",778,N/A,New York,Experian,2-5 years,NaN,User_q23s9u4b,"May 22, 2023",0,2
Blue Cash Preferred,1596,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$1,000",735,N/A,Georgia,Experian,0-6 months,NaN,User_ey516nqs,"May 21, 2023",0,2
